entry time,entry position x,entry position y,entry position z,exit position x,exit position y,exit position z
233.2700,160.8676,125.5000,587.4187,0.0000,0.0000,0.0000
234.5900,8.1929,125.5833,699.6349,0.0000,0.0000,0.0000
234.5900,8.5549,125.5000,699.5214,0.0000,0.0000,0.0000
235.1200,160.9561,125.5833,603.2144,-30.9236,125.5833,455.4552
235.4900,-221.4097,125.5833,455.6898,-53.7849,125.5833,700.2643
235.5700,161.0133,125.5833,539.5172,0.0000,0.0000,0.0000
237.7600,24.5272,125.5833,455.6616,-240.0154,125.5833,584.8632
240.9100,-34.1038,125.5833,699.7453,0.0000,0.0000,0.0000
240.9100,-33.9015,125.5000,699.4756,0.0000,0.0000,0.0000
241.0300,-29.2177,125.5833,455.7635,161.4349,125.5833,583.2797
241.0300,-28.9007,125.5000,455.9755,0.0000,0.0000,0.0000
241.1800,-239.6001,125.5833,503.9691,0.0000,0.0000,0.0000
242.0900,-31.2460,125.5833,699.9013,149.7484,125.5833,455.4551
244.5200,-239.7243,125.5833,524.7217,0.0000,0.0000,0.0000
244.7200,127.0523,125.5833,455.8294,0.0000,0.0000,0.0000
246.2700,-85.3204,125.5833,699.8325,-84.3532,125.5833,700.1179
246.3500,-86.0930,125.5000,699.5359,0.0000,0.0000,0.0000
246.5700,160.9767,125.5833,562.2054,0.0000,0.0000,0.0000
247.4700,149.6620,125.5833,455.6654,-240.2270,125.5833,672.4582
248.1600,24.5607,125.5833,455.6611,161.3220,125.5833,536.0112
249.3700,161.0315,125.5833,657.7919,0.0000,0.0000,0.0000
250.7600,111.5449,125.5833,455.8159,109.5946,125.5833,455.3619
250.8000,111.8282,125.5000,456.1104,0.0000,0.0000,0.0000
251.8100,26.5808,125.5833,699.8686,161.3525,125.5833,668.5560
252.6900,160.6784,125.5000,580.0683,0.0000,0.0000,0.0000
252.6900,161.0574,125.5833,580.2112,-169.9454,125.5833,455.3826
253.3400,-221.4959,125.5833,455.5858,128.5182,125.5833,455.0924
254.3600,128.0484,125.5833,455.5839,0.0000,0.0000,0.0000
255.0400,-221.3841,125.5833,455.7316,-14.4043,125.5833,455.4650
255.8100,-53.9772,125.5833,699.7723,-221.4558,125.5833,455.4751
259.8600,-31.1237,125.5833,699.8342,149.9879,125.5833,455.1824
261.5200,160.9228,125.5833,556.2878,0.0000,0.0000,0.0000
262.4300,160.8344,125.5833,610.9656,0.0000,0.0000,0.0000
262.4300,160.5041,125.5000,610.9275,0.0000,0.0000,0.0000
262.6600,19.4964,125.5833,699.8552,0.0000,0.0000,0.0000
262.7500,20.6123,125.5000,699.5338,0.0000,0.0000,0.0000
263.7300,24.3431,125.5833,455.5335,161.4554,125.5833,536.0898
266.4000,-31.0390,125.5833,699.7249,149.9415,125.5833,455.2483
269.2900,161.1248,125.5833,535.9922,23.8059,125.5833,455.3251
273.4300,161.1534,125.5833,668.5605,13.3151,125.5833,455.3995
274.2600,-221.3993,125.5833,455.7056,-239.9930,125.5833,489.8224
274.7300,72.4723,125.5833,455.7507,74.5424,125.5833,454.9780
274.7600,72.7299,125.5000,456.0269,0.0000,0.0000,0.0000
275.2400,-1.8785,125.5833,455.5248,161.3989,125.5833,636.5155
275.2900,-1.5615,125.5000,455.8763,0.0000,0.0000,0.0000
278.6600,26.5165,125.5833,699.8789,0.0000,0.0000,0.0000
279.7100,26.4054,125.5833,699.9037,161.3593,125.5833,668.5519
282.7000,160.9533,125.5833,495.3650,0.0000,0.0000,0.0000
284.7600,160.6160,125.5833,535.6856,23.9661,125.5833,455.4135
287.6400,-30.6018,125.5000,698.9026,0.0000,0.0000,0.0000
287.6400,-30.7246,125.5833,699.1081,0.0000,0.0000,0.0000
288.0600,-120.9970,125.5833,699.8934,0.0000,0.0000,0.0000
288.2200,-122.6232,125.5000,699.5193,0.0000,0.0000,0.0000
288.2500,-37.0865,125.5833,455.5605,161.5294,125.5833,591.3979
288.3100,-36.4333,125.5000,456.0072,0.0000,0.0000,0.0000
289.0400,-39.2403,125.5833,699.7308,0.0000,0.0000,0.0000
289.0400,-39.2086,125.5000,699.4106,0.0000,0.0000,0.0000
289.5300,160.9339,125.5833,612.0815,0.0000,0.0000,0.0000
289.5300,160.8155,125.5000,612.0667,0.0000,0.0000,0.0000
293.8900,-221.4218,125.5833,455.6823,-239.9490,125.5833,474.2991
296.0900,160.9122,125.5833,601.4073,0.0000,0.0000,0.0000
296.5500,-44.4891,125.5833,699.9115,0.0000,0.0000,0.0000
296.5500,-44.4491,125.5000,699.5501,0.0000,0.0000,0.0000
297.2800,-239.4636,125.5833,487.6205,0.0000,0.0000,0.0000
297.5300,-65.5593,125.5833,699.7155,0.0000,0.0000,0.0000
297.5600,-65.8224,125.5000,699.5240,0.0000,0.0000,0.0000
298.1600,160.9272,125.5833,541.3488,0.0000,0.0000,0.0000
298.4500,161.1075,125.5833,535.9790,23.9253,125.5833,455.3930
298.7700,-239.4364,125.5833,456.0654,0.0000,0.0000,0.0000
